danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.586,0.727,6,-4.799,1,0.039,0.00247,0.0107,0.152,0.496,124.99,audio_features,1CKtxKqyFsFITCH4SpDrWj,spotify:track:1CKtxKqyFsFITCH4SpDrWj,https://api.spotify.com/v1/tracks/1CKtxKqyFsFITCH4SpDrWj,https://api.spotify.com/v1/audio-analysis/1CKtxKqyFsFITCH4SpDrWj,233347,4,electro
0.729,0.905,0,-4.185,1,0.0582,0.013,0.463,0.156,0.394,128.017,audio_features,1GmtwKBeNXdGLoFyVYMz2U,spotify:track:1GmtwKBeNXdGLoFyVYMz2U,https://api.spotify.com/v1/tracks/1GmtwKBeNXdGLoFyVYMz2U,https://api.spotify.com/v1/audio-analysis/1GmtwKBeNXdGLoFyVYMz2U,354395,4,electro
0.789,0.915,0,-3.263,1,0.248,0.0135,8.77e-06,0.0818,0.66,127.955,audio_features,1HOlb9rdNOmy9b1Fakicjo,spotify:track:1HOlb9rdNOmy9b1Fakicjo,https://api.spotify.com/v1/tracks/1HOlb9rdNOmy9b1Fakicjo,https://api.spotify.com/v1/audio-analysis/1HOlb9rdNOmy9b1Fakicjo,183750,4,electro
0.486,0.906,4,-4.634,0,0.055,0.000767,0.000544,0.253,0.118,130.095,audio_features,1Hul4c3LQsbAhIFF45LrHT,spotify:track:1Hul4c3LQsbAhIFF45LrHT,https://api.spotify.com/v1/tracks/1Hul4c3LQsbAhIFF45LrHT,https://api.spotify.com/v1/audio-analysis/1Hul4c3LQsbAhIFF45LrHT,245538,4,electro
0.58,0.846,9,-2.876,0,0.0573,0.00537,6.62e-06,0.145,0.366,129.998,audio_features,1JDIArrcepzWDTAWXdGYmP,spotify:track:1JDIArrcepzWDTAWXdGYmP,https://api.spotify.com/v1/tracks/1JDIArrcepzWDTAWXdGYmP,https://api.spotify.com/v1/audio-analysis/1JDIArrcepzWDTAWXdGYmP,240000,4,electro
0.659,0.619,0,-7.389,1,0.05,0.00458,0.972,0.0897,0.119,128.015,audio_features,1JsbFVFHNIi7kAhlpxDLhV,spotify:track:1JsbFVFHNIi7kAhlpxDLhV,https://api.spotify.com/v1/tracks/1JsbFVFHNIi7kAhlpxDLhV,https://api.spotify.com/v1/audio-analysis/1JsbFVFHNIi7kAhlpxDLhV,306560,4,electro
0.707,0.782,0,-5.463,1,0.0613,0.0541,0.0,0.297,0.79,130.036,audio_features,1KcnJTiXJXAqW5bB7zpkBC,spotify:track:1KcnJTiXJXAqW5bB7zpkBC,https://api.spotify.com/v1/tracks/1KcnJTiXJXAqW5bB7zpkBC,https://api.spotify.com/v1/audio-analysis/1KcnJTiXJXAqW5bB7zpkBC,235344,4,electro
0.746,0.997,2,-1.631,1,0.169,0.000572,0.159,0.17,0.27,127.991,audio_features,1KfW2MqAiGG01pWm34Y2T6,spotify:track:1KfW2MqAiGG01pWm34Y2T6,https://api.spotify.com/v1/tracks/1KfW2MqAiGG01pWm34Y2T6,https://api.spotify.com/v1/audio-analysis/1KfW2MqAiGG01pWm34Y2T6,228765,4,electro
0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,audio_features,1KtD0xaLAikgIt5tPbteZQ,spotify:track:1KtD0xaLAikgIt5tPbteZQ,https://api.spotify.com/v1/tracks/1KtD0xaLAikgIt5tPbteZQ,https://api.spotify.com/v1/audio-analysis/1KtD0xaLAikgIt5tPbteZQ,247933,4,electro
0.587,0.556,0,-7.991,1,0.044,0.00162,0.216,0.0782,0.309,128.017,audio_features,1Mikyuvm2FAtW36bgkMUqa,spotify:track:1Mikyuvm2FAtW36bgkMUqa,https://api.spotify.com/v1/tracks/1Mikyuvm2FAtW36bgkMUqa,https://api.spotify.com/v1/audio-analysis/1Mikyuvm2FAtW36bgkMUqa,315267,4,electro
0.668,0.889,1,-4.661,1,0.116,0.000456,0.863,0.0623,0.0619,129.994,audio_features,1PWjRYOQBuzCM7BJtOK4UY,spotify:track:1PWjRYOQBuzCM7BJtOK4UY,https://api.spotify.com/v1/tracks/1PWjRYOQBuzCM7BJtOK4UY,https://api.spotify.com/v1/audio-analysis/1PWjRYOQBuzCM7BJtOK4UY,326192,4,electro
0.634,0.873,7,-8.465,1,0.0337,0.0373,0.00714,0.232,0.379,128.044,audio_features,1PhJpUoPuS1t3osoVq7KOZ,spotify:track:1PhJpUoPuS1t3osoVq7KOZ,https://api.spotify.com/v1/tracks/1PhJpUoPuS1t3osoVq7KOZ,https://api.spotify.com/v1/audio-analysis/1PhJpUoPuS1t3osoVq7KOZ,248485,4,electro
0.748,0.99,1,-4.784,1,0.0468,0.0144,0.622,0.181,0.757,125.012,audio_features,1RZrwASQmcjtG0rPo5uf1E,spotify:track:1RZrwASQmcjtG0rPo5uf1E,https://api.spotify.com/v1/tracks/1RZrwASQmcjtG0rPo5uf1E,https://api.spotify.com/v1/audio-analysis/1RZrwASQmcjtG0rPo5uf1E,307600,4,electro
0.579,0.889,8,-4.803,0,0.154,0.00408,1.19e-05,0.311,0.659,127.961,audio_features,1TbENPXb4EoOT0NIYgtwjx,spotify:track:1TbENPXb4EoOT0NIYgtwjx,https://api.spotify.com/v1/tracks/1TbENPXb4EoOT0NIYgtwjx,https://api.spotify.com/v1/audio-analysis/1TbENPXb4EoOT0NIYgtwjx,255010,4,electro
0.581,0.877,3,-3.595,0,0.0486,0.0172,0.0,0.248,0.35,127.952,audio_features,1UPyhGntpIx9jGJ5UVtKVS,spotify:track:1UPyhGntpIx9jGJ5UVtKVS,https://api.spotify.com/v1/tracks/1UPyhGntpIx9jGJ5UVtKVS,https://api.spotify.com/v1/audio-analysis/1UPyhGntpIx9jGJ5UVtKVS,189375,4,electro
0.663,0.963,4,-7.008,0,0.0774,0.062,0.00161,0.402,0.287,130.017,audio_features,1UgLlbrbGgYmsObfVzLiy3,spotify:track:1UgLlbrbGgYmsObfVzLiy3,https://api.spotify.com/v1/tracks/1UgLlbrbGgYmsObfVzLiy3,https://api.spotify.com/v1/audio-analysis/1UgLlbrbGgYmsObfVzLiy3,174947,4,electro
0.597,0.736,1,-7.793,0,0.0309,0.00296,0.921,0.0914,0.172,128.179,audio_features,1V0Zy7533bjXFSVtn3crzY,spotify:track:1V0Zy7533bjXFSVtn3crzY,https://api.spotify.com/v1/tracks/1V0Zy7533bjXFSVtn3crzY,https://api.spotify.com/v1/audio-analysis/1V0Zy7533bjXFSVtn3crzY,258440,4,electro
0.714,0.642,8,-10.241,0,0.0868,0.00251,0.887,0.186,0.102,137.834,audio_features,1XCVyUF2QgtZQl71jyr0aK,spotify:track:1XCVyUF2QgtZQl71jyr0aK,https://api.spotify.com/v1/tracks/1XCVyUF2QgtZQl71jyr0aK,https://api.spotify.com/v1/audio-analysis/1XCVyUF2QgtZQl71jyr0aK,177027,4,electro
0.762,0.902,1,-2.682,1,0.102,0.000728,0.218,0.164,0.521,127.955,audio_features,1XsA6eFTqH9SiD76Mwv0YE,spotify:track:1XsA6eFTqH9SiD76Mwv0YE,https://api.spotify.com/v1/tracks/1XsA6eFTqH9SiD76Mwv0YE,https://api.spotify.com/v1/audio-analysis/1XsA6eFTqH9SiD76Mwv0YE,195813,4,electro
0.508,0.865,10,-4.21,1,0.583,0.0619,0.000125,0.0879,0.251,130.027,audio_features,1ZJqn2nRsYCDHLiHTyug2Q,spotify:track:1ZJqn2nRsYCDHLiHTyug2Q,https://api.spotify.com/v1/tracks/1ZJqn2nRsYCDHLiHTyug2Q,https://api.spotify.com/v1/audio-analysis/1ZJqn2nRsYCDHLiHTyug2Q,385851,4,electro
0.61,0.968,0,-3.679,1,0.0482,1.9e-05,0.874,0.0719,0.179,128.011,audio_features,1fB1Q2S1jpFNFOqpgw17BE,spotify:track:1fB1Q2S1jpFNFOqpgw17BE,https://api.spotify.com/v1/tracks/1fB1Q2S1jpFNFOqpgw17BE,https://api.spotify.com/v1/audio-analysis/1fB1Q2S1jpFNFOqpgw17BE,360200,4,electro
