,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
48,0.265,0.805,7,-3.967,1,0.0396,0.126,0.0119,0.306,0.239,149.964,audio_features,0whc72kLlbhR5QMmj9XPnb,spotify:track:0whc72kLlbhR5QMmj9XPnb,https://api.spotify.com/v1/tracks/0whc72kLlbhR5QMmj9XPnb,https://api.spotify.com/v1/audio-analysis/0whc72kLlbhR5QMmj9XPnb,308667,4,rock
49,0.269,0.551,10,-8.456,0,0.0274,0.0307,0.000619,0.118,0.202,144.408,audio_features,0wvIGFIgbyz4JNwQhZgTv2,spotify:track:0wvIGFIgbyz4JNwQhZgTv2,https://api.spotify.com/v1/tracks/0wvIGFIgbyz4JNwQhZgTv2,https://api.spotify.com/v1/audio-analysis/0wvIGFIgbyz4JNwQhZgTv2,374333,3,rock
50,0.548,0.905,5,-7.237,1,0.0607,0.0381,3.37e-05,0.163,0.457,90.587,audio_features,0yd0NF2DaG04KLqJT5LLV2,spotify:track:0yd0NF2DaG04KLqJT5LLV2,https://api.spotify.com/v1/tracks/0yd0NF2DaG04KLqJT5LLV2,https://api.spotify.com/v1/audio-analysis/0yd0NF2DaG04KLqJT5LLV2,218693,4,rock
51,0.516,0.924,0,-5.458,1,0.0359,0.00014,1.34e-05,0.0979,0.495,109.972,audio_features,0z5M6U8kSUz5eaLbf4ge2S,spotify:track:0z5M6U8kSUz5eaLbf4ge2S,https://api.spotify.com/v1/tracks/0z5M6U8kSUz5eaLbf4ge2S,https://api.spotify.com/v1/audio-analysis/0z5M6U8kSUz5eaLbf4ge2S,303341,4,rock
52,0.295,0.792,2,-9.1,1,0.0367,0.0813,0.0,0.131,0.274,108.695,audio_features,108lyj5gobzMHWoA2x78B1,spotify:track:108lyj5gobzMHWoA2x78B1,https://api.spotify.com/v1/tracks/108lyj5gobzMHWoA2x78B1,https://api.spotify.com/v1/audio-analysis/108lyj5gobzMHWoA2x78B1,318600,4,rock
53,0.543,0.818,5,-6.452,0,0.0464,0.00761,0.0115,0.0961,0.334,124.979,audio_features,11OyQRCOBtmQqD3Nq3UtMq,spotify:track:11OyQRCOBtmQqD3Nq3UtMq,https://api.spotify.com/v1/tracks/11OyQRCOBtmQqD3Nq3UtMq,https://api.spotify.com/v1/audio-analysis/11OyQRCOBtmQqD3Nq3UtMq,243382,4,rock
54,0.461,0.967,10,-6.103,1,0.042,0.000161,0.00811,0.206,0.433,140.467,audio_features,12d8CMvcWNBrJ7rMdT1kmt,spotify:track:12d8CMvcWNBrJ7rMdT1kmt,https://api.spotify.com/v1/tracks/12d8CMvcWNBrJ7rMdT1kmt,https://api.spotify.com/v1/audio-analysis/12d8CMvcWNBrJ7rMdT1kmt,234093,4,rock
55,0.501,0.946,0,-5.472,1,0.103,0.0207,3.9e-05,0.132,0.427,94.96,audio_features,12gAKjoIRvthQOrjWEx3v8,spotify:track:12gAKjoIRvthQOrjWEx3v8,https://api.spotify.com/v1/tracks/12gAKjoIRvthQOrjWEx3v8,https://api.spotify.com/v1/audio-analysis/12gAKjoIRvthQOrjWEx3v8,194973,4,rock
56,0.258,0.907,7,-7.287,1,0.112,0.0183,0.201,0.11,0.317,113.679,audio_features,12oSzrBIyirNs0aCwk6elL,spotify:track:12oSzrBIyirNs0aCwk6elL,https://api.spotify.com/v1/tracks/12oSzrBIyirNs0aCwk6elL,https://api.spotify.com/v1/audio-analysis/12oSzrBIyirNs0aCwk6elL,417400,4,rock
57,0.513,0.969,11,-3.407,0,0.142,2.48e-05,0.0,0.334,0.513,95.044,audio_features,12sd8nmoXf5Sxee8f58Vm8,spotify:track:12sd8nmoXf5Sxee8f58Vm8,https://api.spotify.com/v1/tracks/12sd8nmoXf5Sxee8f58Vm8,https://api.spotify.com/v1/audio-analysis/12sd8nmoXf5Sxee8f58Vm8,218200,4,rock
